# Dark-exit acceptance corpus. Rows are immutable: id|class|severity|URL.
# Owner reports stay present. Canary rows are explicit controls; recurring losses are
# canonical site/domain rows mechanically selected from dr_wins in at least two heads.
owner-01|owner|1|https://www.zdnet.com/home-and-office/networking/spacex-wants-to-launch-100000-more-starlink-satellites/
owner-02|owner|1|https://pvk.ca/Blog/2019/01/09/preemption-is-gc-for-memory-reordering/
owner-03|owner|1|https://css-tricks.com/
owner-04|owner|1|https://css-tricks.com/get-ready-for-the-powerful-css-border-shape-property/
owner-05|owner|1|https://www.youtube.com/watch?v=jfKfPfyJRdk
owner-06|owner|1|https://en.wikipedia.org/wiki/Arthur_Tedder,_1st_Baron_Tedder
canary-01|canary|1|https://redis.io/
canary-02|canary|1|https://github.com/
canary-03|canary|1|https://without.boats/
recurring-01|recurring-loss|1|https://azure.microsoft.com/
recurring-02|recurring-loss|1|https://www.bbc.com/
recurring-03|recurring-loss|1|https://cloud.google.com/
recurring-04|recurring-loss|1|https://www.cnn.com/
recurring-05|recurring-loss|1|https://www.economist.com/
recurring-06|recurring-loss|1|https://www.fifa.com/
recurring-07|recurring-loss|1|https://www.imdb.com/
recurring-08|recurring-loss|1|https://kubernetes.io/
recurring-09|recurring-loss|1|https://www.linkedin.com/
recurring-10|recurring-loss|1|https://news.microsoft.com/
recurring-11|recurring-loss|1|https://nodejs.org/
recurring-12|recurring-loss|1|https://redis.io/
recurring-13|recurring-loss|1|https://stackoverflow.com/
recurring-14|recurring-loss|1|https://stripe.com/
recurring-15|recurring-loss|1|https://techcrunch.com/
recurring-16|recurring-loss|1|https://www.theguardian.com/
